barcode,title,brand,categoryId,description,productMainId,stockCode,quantity,vatRate,listPrice,salePrice,currencyType,images,attributeColor,attributeSize
,"Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084 — Color: Nero, Size: 102 (L)",CONTE,600123,"Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084.",chiloti-clasici-dama-mini-shorts-conte-day-by-day-rp1084,1009020550010012,0,19,51,51,RON,https://conteelegant.ro/wp-content/uploads/2025/01/Chiloti-clasici-dama-mini-shorts-Conte-Day-By-Day-RP1084-nero-main.jpg,Black,102 (L)
,"Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084 — Color: Nero, Size: 98 (M)",CONTE,600123,"Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084.",chiloti-clasici-dama-mini-shorts-conte-day-by-day-rp1084,1009020550090012,1,19,51,51,RON,https://conteelegant.ro/wp-content/uploads/2025/01/Chiloti-clasici-dama-mini-shorts-Conte-Day-By-Day-RP1084-nero-main.jpg,Black,98 (M)
,"Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084 — Color: Nero, Size: 94 (S)",CONTE,600123,"Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084.",chiloti-clasici-dama-mini-shorts-conte-day-by-day-rp1084,1009020550080012,1,19,51,51,RON,https://conteelegant.ro/wp-content/uploads/2025/01/Chiloti-clasici-dama-mini-shorts-Conte-Day-By-Day-RP1084-nero-main.jpg,Black,94 (S)
,"Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084 — Color: Piele, Size: 102 (L)",CONTE,600123,"Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084.",chiloti-clasici-dama-mini-shorts-conte-day-by-day-rp1084,1009020550010010,0,19,51,51,RON,"https://conteelegant.ro/wp-content/uploads/2025/01/Chiloti-clasici-dama-mini-shorts-Conte-Day-By-Day-RP1084-nude-fata.jpg,https://conteelegant.ro/wp-content/uploads/2025/01/Chiloti-clasici-dama-mini-shorts-Conte-Day-By-Day-RP1084-nero-main.jpg",Piele,102 (L)
,"Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084 — Color: Piele, Size: 98 (M)",CONTE,600123,"Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084.",chiloti-clasici-dama-mini-shorts-conte-day-by-day-rp1084,1009020550090010,0,19,51,51,RON,"https://conteelegant.ro/wp-content/uploads/2025/01/Chiloti-clasici-dama-mini-shorts-Conte-Day-By-Day-RP1084-nude-fata.jpg,https://conteelegant.ro/wp-content/uploads/2025/01/Chiloti-clasici-dama-mini-shorts-Conte-Day-By-Day-RP1084-nero-main.jpg",Piele,98 (M)
,"Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084 — Color: Piele, Size: 94 (S)",CONTE,600123,"Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084.",chiloti-clasici-dama-mini-shorts-conte-day-by-day-rp1084,1009020550080010,0,19,51,51,RON,"https://conteelegant.ro/wp-content/uploads/2025/01/Chiloti-clasici-dama-mini-shorts-Conte-Day-By-Day-RP1084-nude-fata.jpg,https://conteelegant.ro/wp-content/uploads/2025/01/Chiloti-clasici-dama-mini-shorts-Conte-Day-By-Day-RP1084-nero-main.jpg",Piele,94 (S)
,"Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084 — Color: Pastel, Size: 102 (L)",CONTE,600123,"Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084.",chiloti-clasici-dama-mini-shorts-conte-day-by-day-rp1084,1009020550010788,0,19,51,51,RON,"https://conteelegant.ro/wp-content/uploads/2025/01/Chiloti-clasici-dama-mini-shorts-Conte-Day-By-Day-RP1084-pastel-fata.jpg,https://conteelegant.ro/wp-content/uploads/2025/01/Chiloti-clasici-dama-mini-shorts-Conte-Day-By-Day-RP1084-nero-main.jpg",Pastel,102 (L)
,"Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084 — Color: Pastel, Size: 98 (M)",CONTE,600123,"Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084.",chiloti-clasici-dama-mini-shorts-conte-day-by-day-rp1084,1009020550090788,3,19,51,51,RON,"https://conteelegant.ro/wp-content/uploads/2025/01/Chiloti-clasici-dama-mini-shorts-Conte-Day-By-Day-RP1084-pastel-fata.jpg,https://conteelegant.ro/wp-content/uploads/2025/01/Chiloti-clasici-dama-mini-shorts-Conte-Day-By-Day-RP1084-nero-main.jpg",Pastel,98 (M)
,"Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084 — Color: Pastel, Size: 94 (S)",CONTE,600123,"Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084.",chiloti-clasici-dama-mini-shorts-conte-day-by-day-rp1084,1009020550080788,3,19,51,51,RON,"https://conteelegant.ro/wp-content/uploads/2025/01/Chiloti-clasici-dama-mini-shorts-Conte-Day-By-Day-RP1084-pastel-fata.jpg,https://conteelegant.ro/wp-content/uploads/2025/01/Chiloti-clasici-dama-mini-shorts-Conte-Day-By-Day-RP1084-nero-main.jpg",Pastel,94 (S)
,"Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084 — Color: Pastel, Size: 90 (XS)",CONTE,600123,"Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084.",chiloti-clasici-dama-mini-shorts-conte-day-by-day-rp1084,1009020550070788,2,19,51,51,RON,"https://conteelegant.ro/wp-content/uploads/2025/01/Chiloti-clasici-dama-mini-shorts-Conte-Day-By-Day-RP1084-pastel-fata.jpg,https://conteelegant.ro/wp-content/uploads/2025/01/Chiloti-clasici-dama-mini-shorts-Conte-Day-By-Day-RP1084-nero-main.jpg",Pastel,90 (XS)
,"Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084 — Color: Alb, Size: 106 (XL)",CONTE,600123,"Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084.",chiloti-clasici-dama-mini-shorts-conte-day-by-day-rp1084,1009020550020015,3,19,51,51,RON,"https://conteelegant.ro/wp-content/uploads/2025/01/Chiloti-clasici-dama-mini-shorts-Conte-Day-By-Day-RP1084-alb-fata.jpg,https://conteelegant.ro/wp-content/uploads/2025/01/Chiloti-clasici-dama-mini-shorts-Conte-Day-By-Day-RP1084-nero-main.jpg",White,106 (XL)
,"Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084 — Color: Alb, Size: 102 (L)",CONTE,600123,"Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084.",chiloti-clasici-dama-mini-shorts-conte-day-by-day-rp1084,1009020550010015,3,19,51,51,RON,"https://conteelegant.ro/wp-content/uploads/2025/01/Chiloti-clasici-dama-mini-shorts-Conte-Day-By-Day-RP1084-alb-fata.jpg,https://conteelegant.ro/wp-content/uploads/2025/01/Chiloti-clasici-dama-mini-shorts-Conte-Day-By-Day-RP1084-nero-main.jpg",White,102 (L)
,"Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084 — Color: Alb, Size: 98 (M)",CONTE,600123,"Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084.",chiloti-clasici-dama-mini-shorts-conte-day-by-day-rp1084,1009020550090015,3,19,51,51,RON,"https://conteelegant.ro/wp-content/uploads/2025/01/Chiloti-clasici-dama-mini-shorts-Conte-Day-By-Day-RP1084-alb-fata.jpg,https://conteelegant.ro/wp-content/uploads/2025/01/Chiloti-clasici-dama-mini-shorts-Conte-Day-By-Day-RP1084-nero-main.jpg",White,98 (M)
,"Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084 — Color: Alb, Size: 94 (S)",CONTE,600123,"Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084.",chiloti-clasici-dama-mini-shorts-conte-day-by-day-rp1084,1009020550080015,3,19,51,51,RON,"https://conteelegant.ro/wp-content/uploads/2025/01/Chiloti-clasici-dama-mini-shorts-Conte-Day-By-Day-RP1084-alb-fata.jpg,https://conteelegant.ro/wp-content/uploads/2025/01/Chiloti-clasici-dama-mini-shorts-Conte-Day-By-Day-RP1084-nero-main.jpg",White,94 (S)
